Family subject avg_mix_log10_ratio recipient_fam_relAbundance_day_029 recipient_fam_relAbundance_day_036 recipient_ratio recipient_log10_ratio
Eubacteriaceae XLA 2.1229078684871032 1e-4 1e-4 1e-4 1e-4
Eubacteriaceae XSA 1.9680738726718578 1e-4 1e-4 1e-4 1e-4
Family_XI XCA 2.658926128586928 0.0543346912785187 1e-4 543.346912785187 2.735077203808181
Family_XI XDA -0.19576505956912266 0.182854717367759 0.07528707077398698 2.4287665264158282 0.38538576875216457
Family_XI XEA 2.80212938972394 0.028716309756425598 1e-4 287.16309756425596 2.4581286293239963
Family_XI XFA 1.8428262589304807 0.0601315234610957 0.00138967299257393 43.27026846058299 1.6361895896888587
Family_XI XGA 2.6142132511784433 0.0963588252832439 1e-4 963.5882528324389 2.983891496846078
Family_XI XLA 0.2440626001029867 0.160063673837893 0.02189768285873816 7.309616952189095 0.8638946191043321
Family_XI XSA 2.859664066332519 0.2303740971094292 1e-4 2303.7409710942916 3.362433646127679
Flavobacteriaceae XJA 1.3870484603072888 1e-4 1e-4 1e-4 1e-4
Flavobacteriaceae XLA 1.4657748793321423 1e-4 1e-4 1e-4 1e-4
Fusobacteriaceae XEA 2.3131364878943024 1e-4 1e-4 1e-4 1e-4
Fusobacteriaceae XGA 3.133727052070002 1e-4 1e-4 1e-4 1e-4
Fusobacteriaceae XJA 3.4848148242980814 1e-4 1e-4 1e-4 1e-4
Lachnospiraceae XCA -0.1935416761366746 0.1515568130015412 0.21535834128313047 0.7037424791561254 -0.15258623338883476
Lachnospiraceae XDA -0.19943337182247253 0.11153801118234247 0.14749641161532506 0.7562083033805381 -0.12135855827135318
Lachnospiraceae XEA -0.030764208197411706 0.06001154981053563 0.09499146965634908 0.631757251757864 -0.19944976423931182
Lachnospiraceae XFA 0.08215640362900568 0.16962423496426982 0.06539062839275639 2.5940144502887184 0.4139723910476652
Lachnospiraceae XGA -0.3383505578747718 0.05983527131782945 0.2629341169434009 0.2275675443468965 -0.6428896768821393
Lachnospiraceae XJA 2.922575775642902 0.04206093633886549 1e-4 420.6093633886549 2.6238789364976194
Lachnospiraceae XLA -0.1674786516227506 0.07813112534004911 0.2573806532663312 0.3035625418947124 -0.5177518192458372
Lachnospiraceae XSA 0.08185764983648049 0.05246999168086199 0.10572704329256455 0.4962778684320972 -0.3042750917825849
Lactobacillaceae XCA -1.5135101235130364 1e-4 0.00326219654567409 0.03065419222903883 -1.5135101235130364
