filename,sample,group,round2plate,round1index,metadata
16S-A-A7-L4,AME0062-A07,eACE010-eAME244,A,4,XHB-029+XDA-036
16S-A-B7-L4,AME0062-B07,eACE010-eAME245,A,4,XHB-029+XEA-036
16S-A-C7-L4,AME0062-C07,eACE010-eAME246,A,4,XHB-029+XFA-036
16S-A-D7-L4,AME0062-D07,eACE010-eAME247,A,4,XHB-029+XCA-036
16S-A-E7-L4,AME0062-E07,eACE010-eAME248,A,4,XHB-029+XSA-036
16S-A-F7-L4,AME0062-F07,eACE010-eAME249,A,4,XHB-029+XJA-036
16S-A-G7-L4,AME0062-G07,eACE010-eAME250,A,4,XHB-029+XGA-036
16S-A-H7-L4,AME0062-H07,eACE010-eAME251,A,4,XHB-029+XLA-036
16S-A-A8-L4,AME0062-A08,eACE010-eAME252,A,4,XIB-029+XDA-036
16S-A-B8-L4,AME0062-B08,eACE010-eAME253,A,4,XIB-029+XEA-036
16S-A-C8-L4,AME0062-C08,eACE010-eAME254,A,4,XIB-029+XFA-036
16S-A-D8-L4,AME0062-D08,eACE010-eAME255,A,4,XIB-029+XCA-036
16S-A-E8-L4,AME0062-E08,eACE010-eAME256,A,4,XIB-029+XSA-036
16S-A-F8-L4,AME0062-F08,eACE010-eAME257,A,4,XIB-029+XJA-036
16S-A-G8-L4,AME0062-G08,eACE010-eAME258,A,4,XIB-029+XGA-036
16S-A-H8-L4,AME0062-H08,eACE010-eAME259,A,4,XIB-029+XLA-036
16S-A-A9-L4,AME0062-A09,eACE010-eAME260,A,4,XJB-029+XDA-036
16S-A-B9-L4,AME0062-B09,eACE010-eAME261,A,4,XJB-029+XEA-036
16S-A-C9-L4,AME0062-C09,eACE010-eAME262,A,4,XJB-029+XFA-036
16S-A-D9-L4,AME0062-D09,eACE010-eAME263,A,4,XJB-029+XCA-036
16S-A-E9-L4,AME0062-E09,eACE010-eAME264,A,4,XJB-029+XSA-036
16S-A-F9-L4,AME0062-F09,eACE010-eAME265,A,4,XJB-029+XJA-036
16S-A-G9-L4,AME0062-G09,eACE010-eAME266,A,4,XJB-029+XGA-036
16S-A-H9-L4,AME0062-H09,eACE010-eAME267,A,4,XJB-029+XLA-036
16S-A-A10-L4,AME0062-A10,eACE010-eAME268,A,4,XKB-029+XDA-036
16S-A-B10-L4,AME0062-B10,eACE010-eAME269,A,4,XKB-029+XEA-036
16S-A-C10-L4,AME0062-C10,eACE010-eAME270,A,4,XKB-029+XFA-036
16S-A-D10-L4,AME0062-D10,eACE010-eAME271,A,4,XKB-029+XCA-036
16S-A-E10-L4,AME0062-E10,eACE010-eAME272,A,4,XKB-029+XSA-036
16S-A-F10-L4,AME0062-F10,eACE010-eAME273,A,4,XKB-029+XJA-036
16S-A-G10-L4,AME0062-G10,eACE010-eAME274,A,4,XKB-029+XGA-036
16S-A-H10-L4,AME0062-H10,eACE010-eAME275,A,4,XKB-029+XLA-036
16S-A-A11-L4,AME0062-A11,eACE010-eAME276,A,4,blank+XDA-036
16S-A-B11-L4,AME0062-B11,eACE010-eAME277,A,4,blank+XEA-036
16S-A-C11-L4,AME0062-C11,eACE010-eAME278,A,4,blank+XFA-036
16S-A-D11-L4,AME0062-D11,eACE010-eAME279,A,4,blank+XCA-036
16S-A-E11-L4,AME0062-E11,eACE010-eAME280,A,4,blank+XSA-036
16S-A-F11-L4,AME0062-F11,eACE010-eAME281,A,4,blank+XJA-036
16S-A-G11-L4,AME0062-G11,eACE010-eAME282,A,4,blank+XGA-036
16S-A-H11-L4,AME0062-H11,eACE010-eAME283,A,4,blank+XLA-036
16S-A-A12-L4,AME0062-A12,eACE010-eAME284,A,4,B-mix+XDA-036
16S-A-B12-L4,AME0062-B12,eACE010-eAME285,A,4,B-mix+XEA-036
